ID,cue,associations,num_associations,cue_weight,associations_mean_weight,candidates,candidates_connectivity_score,solvers_jaccard_mean,solvers_jaccard_std,clip_vit_32_predictions,clip_vit_32_jaccard
1206,concert,"[""music"", ""band"", ""hall"", ""orchestra""]",4,97,26.75,"[""orchestra"", ""karate"", ""liner"", ""music"", ""band"", ""hall""]",3,1,0,"[""orchestra"", ""hall"", ""music"", ""band""]",1
412,lawn mower,"[""grass"", ""garden"", ""green""]",3,112,35.33333333,"[""green"", ""grass"", ""slate"", ""graph"", ""garden""]",4,0.833333333,0.24,"[""garden"", ""grass"", ""green""]",1
176,surgeon,"[""doctor"", ""scalpel"", ""knife""]",3,98,32.66666667,"[""shake"", ""scalpel"", ""knife"", ""doctor"", ""lake""]",1,1,0,"[""doctor"", ""scalpel"", ""knife""]",1
1666,golfer,"[""ball"", ""green""]",2,56,21.5,"[""meth"", ""wink"", ""toothpaste"", ""light"", ""green"", ""ball""]",4,1,0,"[""green"", ""wink""]",0.333333333
616,daffodil,"[""flower"", ""yellow""]",2,167,63.5,"[""boxing"", ""yellow"", ""ore"", ""telescope"", ""flower""]",1,1,0,"[""yellow"", ""flower""]",1
358,birth control,"[""pill"", ""condom"", ""baby""]",3,109,35.33333333,"[""truck"", ""oil"", ""pill"", ""condom"", ""baby""]",4,1,0,"[""condom"", ""pill"", ""baby""]",1
1098,nickel,"[""dime"", ""metal"", ""money"", ""coin""]",4,121,36.75,"[""money"", ""swan"", ""dime"", ""metal"", ""coin"", ""ostrich""]",3,1,0,"[""dime"", ""coin"", ""money"", ""ostrich""]",0.6
636,dose,"[""medicine"", ""drugs""]",2,92,39,"[""chicken"", ""drugs"", ""soot"", ""wigwam"", ""medicine""]",1,1,0,"[""medicine"", ""drugs""]",1
56,stapler,"[""paper"", ""office"", ""staple""]",3,98,29,"[""staple"", ""bell"", ""office"", ""crew"", ""paper""]",2,1,0,"[""staple"", ""office"", ""bell""]",0.5
1389,hummus,"[""food"", ""chickpea"", ""dip""]",3,67,21.66666667,"[""food"", ""aunt"", ""sperm"", ""dip"", ""chickpea"", ""bridge""]",1,1,0,"[""dip"", ""chickpea"", ""food""]",1
497,boom,"[""explosion"", ""bomb""]",2,88,27.5,"[""dancer"", ""map"", ""bomb"", ""explosion"", ""board""]",1,1,0,"[""explosion"", ""bomb""]",1
380,barmaid,"[""beer"", ""pub"", ""bar""]",3,59,19,"[""beer"", ""mars"", ""bar"", ""pub"", ""fall""]",2,1,0,"[""pub"", ""bar"", ""beer""]",1
1770,cars,"[""traffic"", ""road""]",2,49,13,"[""road"", ""carpet"", ""traffic"", ""nap"", ""calf"", ""champagne""]",1,1,0,"[""traffic"", ""road""]",1
1314,vagabond,"[""hobo"", ""traveler"", ""bum""]",3,59,16,"[""chili"", ""drugs"", ""traveler"", ""hamster"", ""bum"", ""hobo""]",0,1,0,"[""hobo"", ""hamster"", ""traveler""]",0.5
1595,swim,"[""water"", ""pool"", ""ocean""]",3,114,38,"[""ocean"", ""pool"", ""sage"", ""tea party"", ""porch"", ""water""]",2,1,0,"[""pool"", ""ocean"", ""water""]",1
120,wave,"[""ocean"", ""water"", ""hand""]",3,98,30.33333333,"[""fireworks"", ""hand"", ""water"", ""woods"", ""ocean""]",1,1,0,"[""ocean"", ""hand"", ""water""]",1
1070,sponge,"[""water"", ""sea"", ""yellow"", ""wet""]",4,51,16,"[""yellow"", ""water"", ""rod"", ""wet"", ""euro"", ""sea""]",5,1,0,"[""yellow"", ""rod"", ""water"", ""sea""]",0.6
1643,dancer,"[""ballet"", ""music""]",2,76,32,"[""grandmother"", ""kiln"", ""candy"", ""ale"", ""ballet"", ""music""]",1,1,0,"[""ballet"", ""music""]",1
1326,pesto,"[""pasta"", ""green"", ""food""]",3,133,35.66666667,"[""pasta"", ""nomad"", ""snail"", ""green"", ""food"", ""tadpole""]",4,1,0,"[""pasta"", ""snail"", ""green""]",0.5
250,port,"[""ship"", ""wine"", ""boat""]",3,93,31,"[""boat"", ""ship"", ""wine"", ""underwear"", ""senator""]",1,1,0,"[""ship"", ""wine"", ""boat""]",1
416,cereals,"[""breakfast"", ""milk"", ""wheat""]",3,108,35.33333333,"[""zombie"", ""wheat"", ""milk"", ""bouquet"", ""breakfast""]",2,1,0,"[""milk"", ""wheat"", ""breakfast""]",1
698,work out,"[""gym"", ""sweat""]",2,130,34,"[""sweat"", ""gym"", ""tumor"", ""pile"", ""two""]",1,1,0,"[""gym"", ""sweat""]",1
241,shawl,"[""scarf"", ""cover"", ""wool""]",3,62,18.33333333,"[""scarf"", ""cover"", ""restaurant"", ""wool"", ""hike""]",1,0.833333333,0.24,"[""scarf"", ""wool"", ""hike""]",0.5
1477,lacquer,"[""paint"", ""varnish"", ""wood""]",3,55,15.66666667,"[""spike"", ""paint"", ""ornament"", ""cabbage"", ""varnish"", ""wood""]",1,1,0,"[""wood"", ""ornament"", ""paint""]",0.5
1310,spelling,"[""bee"", ""school"", ""dictionary""]",3,102,19.66666667,"[""bee"", ""dictionary"", ""infection"", ""school"", ""seat"", ""pager""]",0,1,0,"[""dictionary"", ""seat"", ""bee""]",0.5
1667,report,"[""card"", ""school""]",2,65,25,"[""school"", ""card"", ""outfit"", ""cut"", ""spades"", ""postman""]",1,1,0,"[""outfit"", ""postman""]",0
1399,zoo,"[""animal"", ""cage"", ""lion""]",3,99,19.33333333,"[""cage"", ""saucer"", ""handwriting"", ""animal"", ""costume"", ""lion""]",2,1,0,"[""costume"", ""lion"", ""animal""]",0.5
1764,illegal,"[""drugs"", ""police""]",2,59,18,"[""police"", ""drugs"", ""snow"", ""navel"", ""gazelle"", ""trophy""]",2,1,0,"[""gazelle"", ""police""]",0.333333333
1058,chewing,"[""gum"", ""food"", ""teeth"", ""mouth""]",4,115,32,"[""food"", ""hobo"", ""teeth"", ""syrup"", ""mouth"", ""gum""]",5,1,0,"[""gum"", ""mouth"", ""teeth"", ""syrup""]",0.6
935,old person,"[""grey"", ""grandma""]",2,55,11,"[""grey"", ""t-shirt"", ""mare"", ""grandma"", ""cabin""]",0,1,0,"[""grandma"", ""grey""]",1
465,kick,"[""ball"", ""foot"", ""punch""]",3,67,22.33333333,"[""phlegm"", ""punch"", ""ball"", ""tarmac"", ""foot""]",1,1,0,"[""foot"", ""ball"", ""punch""]",1
208,planes,"[""air"", ""fly"", ""sky""]",3,59,19.66666667,"[""fly"", ""werewolf"", ""bullseye"", ""air"", ""sky""]",3,1,0,"[""air"", ""sky"", ""werewolf""]",0.5
1060,bread,"[""food"", ""butter"", ""wheat"", ""sandwich""]",4,82,24,"[""butter"", ""barbecue"", ""food"", ""wheat"", ""blackberry"", ""sandwich""]",4,0.866666667,0.19,"[""sandwich"", ""wheat"", ""butter"", ""food""]",1
866,prop,"[""stage"", ""theater""]",2,75,25.5,"[""writer"", ""stage"", ""theater"", ""liner"", ""coop""]",1,1,0,"[""coop"", ""writer""]",0
689,foster,"[""child"", ""home""]",2,88,22.5,"[""court"", ""home"", ""pound"", ""child"", ""swimsuit""]",0,1,0,"[""child"", ""court""]",0.333333333
1459,croissant,"[""bread"", ""breakfast"", ""food""]",3,91,17.33333333,"[""hobbit"", ""food"", ""hive"", ""drugs"", ""bread"", ""breakfast""]",5,0.833333333,0.24,"[""bread"", ""breakfast"", ""hobbit""]",0.5
1543,border,"[""country"", ""line"", ""fence""]",3,68,17.66666667,"[""fence"", ""country"", ""lice"", ""line"", ""tool"", ""closet""]",1,1,0,"[""line"", ""fence"", ""country""]",1
1863,gecko,"[""lizard"", ""green""]",2,118,53,"[""spice"", ""lizard"", ""ladies"", ""cellphone"", ""green"", ""toothbrush""]",2,1,0,"[""lizard"", ""green""]",1
268,orthodontist,"[""teeth"", ""braces"", ""dentist""]",3,168,56,"[""piercing"", ""braces"", ""teeth"", ""dentist"", ""raccoon""]",2,1,0,"[""teeth"", ""braces"", ""dentist""]",1
424,leather,"[""cow"", ""jacket"", ""belt""]",3,81,24.33333333,"[""belt"", ""jacket"", ""cheddar"", ""toy"", ""cow""]",0,0.833333333,0.24,"[""belt"", ""jacket"", ""cow""]",1
1913,rug,"[""floor"", ""mat""]",2,116,27.5,"[""pictures"", ""floor"", ""skyscraper"", ""clam"", ""crib"", ""mat""]",0,1,0,"[""mat"", ""floor""]",1
1142,pepper,"[""salt"", ""spice"", ""hot"", ""spray""]",4,117,32,"[""spray"", ""spice"", ""salt"", ""purple"", ""hot"", ""doodle""]",3,0.866666667,0.19,"[""spice"", ""purple"", ""doodle"", ""spray""]",0.333333333
1439,meteorite,"[""rock"", ""sky"", ""asteroid""]",3,111,22.33333333,"[""sky"", ""notebook"", ""rock"", ""pad"", ""asteroid"", ""raccoon""]",3,1,0,"[""rock"", ""asteroid"", ""raccoon""]",0.5
562,colored,"[""rainbow"", ""red""]",2,50,17,"[""armor"", ""blinking"", ""saxophone"", ""red"", ""rainbow""]",1,1,0,"[""rainbow"", ""red""]",1
361,hedge,"[""bush"", ""hog"", ""green""]",3,81,27,"[""bush"", ""green"", ""pat"", ""hog"", ""two""]",1,0.833333333,0.24,"[""green"", ""pat"", ""bush""]",0.5
1243,coconut,"[""milk"", ""tree"", ""palm"", ""brown""]",4,83,24,"[""earth"", ""palm"", ""tree"", ""brown"", ""milk"", ""stallion""]",3,1,0,"[""palm"", ""brown"", ""earth"", ""milk""]",0.6
813,downpour,"[""rain"", ""wet""]",2,127,57,"[""mortar"", ""rain"", ""king"", ""salon"", ""wet""]",1,1,0,"[""rain"", ""wet""]",1
1942,snacks,"[""food"", ""chips""]",2,82,34,"[""visitor"", ""chips"", ""ivory"", ""spot"", ""vodka"", ""food""]",1,1,0,"[""chips"", ""food""]",1
1037,islands,"[""sea"", ""beach"", ""water"", ""sand""]",4,54,16.75,"[""water"", ""beach"", ""sea"", ""sand"", ""explode"", ""potion""]",10,0.866666667,0.19,"[""sand"", ""sea"", ""explode"", ""potion""]",0.333333333
68,muddy,"[""wet"", ""water"", ""brown""]",3,90,17.33333333,"[""wet"", ""water"", ""university"", ""brown"", ""bouquet""]",2,1,0,"[""brown"", ""water"", ""wet""]",1
1264,railway,"[""train"", ""station"", ""car"", ""track""]",4,111,31,"[""diagram"", ""grave"", ""station"", ""car"", ""train"", ""track""]",5,0.866666667,0.19,"[""train"", ""station"", ""grave"", ""diagram""]",0.333333333
969,sodium,"[""salt"", ""potassium""]",2,131,51,"[""mardi gras"", ""salt"", ""spike"", ""potassium"", ""sleep""]",0,1,0,"[""potassium"", ""salt""]",1
31,fluid,"[""water"", ""wet"", ""drink""]",3,129,26,"[""head"", ""palm"", ""drink"", ""wet"", ""water""]",4,1,0,"[""water"", ""wet"", ""drink""]",1
630,smirk,"[""smile"", ""face""]",2,97,37.5,"[""beehive"", ""smile"", ""clone"", ""station"", ""face""]",1,1,0,"[""smile"", ""face""]",1
1941,udder,"[""cow"", ""milk""]",2,173,81,"[""cow"", ""cupboard"", ""coral"", ""singer"", ""milk"", ""thunder""]",1,1,0,"[""cow"", ""milk""]",1
1875,lieutenant,"[""army"", ""officer""]",2,98,35,"[""dryer"", ""color"", ""belt"", ""asphalt"", ""officer"", ""army""]",2,1,0,"[""army"", ""asphalt""]",0.333333333
347,piercing,"[""ear"", ""nose"", ""earring""]",3,74,24.33333333,"[""earring"", ""slate"", ""nose"", ""mercury"", ""ear""]",3,1,0,"[""earring"", ""ear"", ""nose""]",1
573,million,"[""money"", ""people""]",2,88,16,"[""spades"", ""people"", ""cabbage"", ""money"", ""billiards""]",1,1,0,"[""money"", ""people""]",1
1445,boiling,"[""water"", ""hot"", ""steam""]",3,154,49.66666667,"[""water"", ""steam"", ""maid"", ""hot"", ""nap"", ""pollen""]",4,1,0,"[""hot"", ""water"", ""maid""]",0.5
1518,path,"[""road"", ""walk"", ""trail""]",3,94,22.66666667,"[""canvas"", ""two"", ""walk"", ""garlic"", ""road"", ""trail""]",4,1,0,"[""trail"", ""road"", ""walk""]",1
488,clan,"[""family"", ""group""]",2,104,41,"[""family"", ""group"", ""tractor"", ""flannel"", ""vanilla""]",1,1,0,"[""group"", ""family""]",1
1785,dollars,"[""money"", ""green""]",2,132,51.5,"[""stockings"", ""prize"", ""boa"", ""ceramic"", ""money"", ""green""]",2,1,0,"[""money"", ""green""]",1
1023,bronze,"[""gold"", ""metal"", ""medal"", ""statue""]",4,97,29.25,"[""metal"", ""statue"", ""playstation"", ""gold"", ""medal"", ""missile""]",1,1,0,"[""medal"", ""gold"", ""statue"", ""metal""]",1
232,stars,"[""sky"", ""night"", ""light""]",3,89,28.66666667,"[""light"", ""night"", ""sky"", ""horse"", ""scream""]",3,1,0,"[""night"", ""light"", ""horse""]",0.5
279,molten,"[""lava"", ""hot"", ""metal""]",3,125,41.66666667,"[""kitten"", ""lava"", ""parrot"", ""metal"", ""hot""]",2,0.833333333,0.24,"[""lava"", ""parrot"", ""kitten""]",0.2
547,reflect,"[""mirror"", ""water""]",2,110,38.5,"[""mirror"", ""water"", ""propeller"", ""flood"", ""author""]",3,1,0,"[""mirror"", ""water""]",1
744,arrest,"[""police"", ""jail""]",2,108,38.5,"[""jail"", ""police"", ""employee"", ""scream"", ""corner""]",1,1,0,"[""police"", ""jail""]",1
509,delicious,"[""food"", ""cake""]",2,106,26.5,"[""food"", ""ticket"", ""hall"", ""cake"", ""cavity""]",2,1,0,"[""cake"", ""food""]",1
63,sphere,"[""ball"", ""globe"", ""circle""]",3,132,36,"[""hooker"", ""circle"", ""ball"", ""globe"", ""chain""]",2,1,0,"[""globe"", ""circle"", ""ball""]",1
716,camouflage,"[""army"", ""green""]",2,96,39,"[""pint"", ""disk"", ""army"", ""green"", ""city""]",2,1,0,"[""green"", ""army""]",1
811,contrast,"[""color"", ""light""]",2,66,17,"[""animal"", ""kids"", ""color"", ""light"", ""mouth""]",1,1,0,"[""light"", ""color""]",1
38,sweat,"[""hot"", ""wet"", ""water""]",3,56,13.66666667,"[""giant"", ""wet"", ""orthodontist"", ""hot"", ""water""]",3,0.833333333,0.24,"[""water"", ""hot"", ""wet""]",1
138,paper,"[""pen"", ""write"", ""scissors""]",3,55,16,"[""cocktail"", ""sheriff"", ""write"", ""pen"", ""scissors""]",1,1,0,"[""write"", ""pen"", ""scissors""]",1
1402,thanksgiving,"[""turkey"", ""family"", ""food""]",3,121,39.66666667,"[""food"", ""needles"", ""bottle"", ""family"", ""alpaca"", ""turkey""]",2,1,0,"[""turkey"", ""family"", ""bottle""]",0.5
1140,sailing,"[""boat"", ""water"", ""sea"", ""ship""]",4,116,31.75,"[""sea"", ""ship"", ""water"", ""night"", ""lollipop"", ""boat""]",12,1,0,"[""ship"", ""night"", ""boat"", ""water""]",0.6
278,chew,"[""food"", ""gum"", ""teeth""]",3,88,24.66666667,"[""teeth"", ""pineapple"", ""silky"", ""food"", ""gum""]",1,0.833333333,0.24,"[""gum"", ""teeth"", ""silky""]",0.5
1048,cherries,"[""red"", ""fruit"", ""tree"", ""pie""]",4,133,30.75,"[""tree"", ""pie"", ""comma"", ""fruit"", ""pottery"", ""red""]",8,1,0,"[""red"", ""pie"", ""fruit"", ""tree""]",1
1606,pigment,"[""color"", ""skin"", ""dye""]",3,131,38,"[""color"", ""skin"", ""sting"", ""street"", ""dye"", ""lumberjack""]",2,1,0,"[""dye"", ""color"", ""skin""]",1
1833,extinction,"[""dinosaur"", ""dead""]",2,67,18.5,"[""pharmacy"", ""ruler"", ""whisper"", ""hotel"", ""dinosaur"", ""dead""]",1,1,0,"[""dinosaur"", ""dead""]",1
1372,pounce,"[""jump"", ""cat"", ""tiger""]",3,115,38.33333333,"[""shovel"", ""secretary"", ""cat"", ""tiger"", ""jump"", ""stereo""]",1,0.833333333,0.24,"[""cat"", ""tiger"", ""secretary""]",0.5
346,vampire,"[""blood"", ""teeth"", ""twilight""]",3,105,34.66666667,"[""teeth"", ""bench"", ""martini"", ""twilight"", ""blood""]",1,1,0,"[""teeth"", ""twilight"", ""blood""]",1
806,built,"[""house"", ""building""]",2,73,24.5,"[""green light"", ""house"", ""toy"", ""ferret"", ""building""]",3,1,0,"[""building"", ""house""]",1
1176,dripping,"[""wet"", ""water"", ""faucet"", ""tap""]",4,104,28.5,"[""brush"", ""water"", ""tap"", ""faucet"", ""wet"", ""nail""]",4,1,0,"[""water"", ""wet"", ""tap"", ""faucet""]",1
1899,belong,"[""group"", ""family""]",2,56,17,"[""garlic"", ""sword"", ""womb"", ""bee"", ""group"", ""family""]",1,1,0,"[""bee"", ""womb""]",0
726,send,"[""letter"", ""email""]",2,107,31,"[""tar"", ""letter"", ""email"", ""doodle"", ""jump""]",1,1,0,"[""letter"", ""email""]",1
299,spoon,"[""fork"", ""knife"", ""soup""]",3,117,39,"[""soup"", ""singer"", ""knife"", ""fork"", ""iris""]",1,1,0,"[""fork"", ""knife"", ""soup""]",1
1591,cuba,"[""cigar"", ""island"", ""country""]",3,81,17.66666667,"[""floss"", ""island"", ""country"", ""cigar"", ""bow tie"", ""heater""]",1,1,0,"[""cigar"", ""island"", ""bow tie""]",0.5
1218,pyramids,"[""sand"", ""pharaoh"", ""triangle"", ""desert""]",4,123,15,"[""twin"", ""desert"", ""triangle"", ""pharaoh"", ""broken"", ""sand""]",2,1,0,"[""triangle"", ""pharaoh"", ""desert"", ""sand""]",1
1448,skis,"[""snow"", ""mountain"", ""water""]",3,107,35.66666667,"[""sweetener"", ""sugar"", ""infection"", ""snow"", ""mountain"", ""water""]",5,0.833333333,0.24,"[""snow"", ""mountain"", ""sugar""]",0.5
1842,cigarette,"[""smoke"", ""cigar""]",2,108,38,"[""shorts"", ""foam"", ""starch"", ""shadow"", ""smoke"", ""cigar""]",0,1,0,"[""smoke"", ""foam""]",0.333333333
1846,vehicles,"[""car"", ""trucks""]",2,108,30,"[""recipe"", ""ramp"", ""dinner"", ""wreck"", ""car"", ""trucks""]",0,1,0,"[""car"", ""trucks""]",1
1366,lure,"[""fishing"", ""trap"", ""catch""]",3,81,24.33333333,"[""puppet"", ""highway"", ""crochet"", ""trap"", ""fishing"", ""catch""]",2,0.833333333,0.24,"[""fishing"", ""trap"", ""crochet""]",0.5
311,dirt,"[""mud"", ""earth"", ""dust""]",3,71,23,"[""mud"", ""dust"", ""doodle"", ""beak"", ""earth""]",1,1,0,"[""mud"", ""dust"", ""doodle""]",0.5
304,booger,"[""nose"", ""snot"", ""green""]",3,105,35,"[""quiz"", ""supermarket"", ""green"", ""nose"", ""snot""]",3,0.833333333,0.24,"[""nose"", ""green"", ""snot""]",1
359,sheet,"[""paper"", ""bed"", ""music""]",3,145,45.33333333,"[""paper"", ""spam"", ""bed"", ""music"", ""cradle""]",3,1,0,"[""paper"", ""bed"", ""cradle""]",0.5
9,howl,"[""wolf"", ""moon"", ""dog""]",3,142,47.33333333,"[""eskimo"", ""limb"", ""moon"", ""wolf"", ""dog""]",3,1,0,"[""wolf"", ""eskimo"", ""dog""]",0.5
206,consumer,"[""buyer"", ""money"", ""product""]",3,58,18.66666667,"[""potassium"", ""bear"", ""product"", ""money"", ""buyer""]",1,0.833333333,0.24,"[""buyer"", ""product"", ""money""]",1
815,mattress,"[""bed"", ""sleep""]",2,153,65,"[""mirror"", ""sleep"", ""suitcase"", ""dwarf"", ""bed""]",1,1,0,"[""bed"", ""mirror""]",0.333333333
302,woodpecker,"[""bird"", ""tree"", ""red""]",3,155,45,"[""tree"", ""envelope"", ""adobe"", ""bird"", ""red""]",3,1,0,"[""adobe"", ""bird"", ""envelope""]",0.2
915,tracksuit,"[""running"", ""gym""]",2,42,16,"[""pan"", ""gym"", ""running"", ""balloon"", ""snowman""]",1,1,0,"[""gym"", ""balloon""]",0.333333333
1695,laptop,"[""computer"", ""keyboard""]",2,100,43,"[""keyboard"", ""neighbor"", ""microscope"", ""portrait"", ""asylum"", ""computer""]",1,1,0,"[""computer"", ""keyboard""]",1
1906,physician,"[""medicine"", ""hospital""]",2,130,19.5,"[""ocean"", ""leopard"", ""woodpecker"", ""medicine"", ""hospital"", ""parent""]",1,1,0,"[""hospital"", ""medicine""]",1
436,crowbar,"[""tool"", ""metal"", ""car""]",3,56,18.66666667,"[""dip"", ""metal"", ""car"", ""list"", ""tool""]",1,0.833333333,0.24,"[""metal"", ""list"", ""tool""]",0.5
1017,merchant,"[""store"", ""market"", ""ship"", ""goods""]",4,56,12.5,"[""market"", ""whistle"", ""ship"", ""goods"", ""stopwatch"", ""store""]",4,1,0,"[""market"", ""store"", ""ship"", ""goods""]",1
284,trowel,"[""garden"", ""shovel"", ""dig""]",3,72,24,"[""stain"", ""shovel"", ""garden"", ""dig"", ""ketchup""]",4,1,0,"[""shovel"", ""dig"", ""garden""]",1
1541,chilly,"[""snow"", ""freezing"", ""ice""]",3,123,11.66666667,"[""snow"", ""chop"", ""ice"", ""freezing"", ""pager"", ""lake""]",2,1,0,"[""snow"", ""ice"", ""freezing""]",1
1856,irish,"[""green"", ""beer""]",2,72,29.5,"[""green"", ""page"", ""container"", ""beer"", ""snot"", ""climb""]",4,1,0,"[""green"", ""page""]",0.333333333
1714,irritant,"[""skin"", ""rash""]",2,60,10.5,"[""skin"", ""hanger"", ""rash"", ""constellation"", ""stopwatch"", ""blueprint""]",1,1,0,"[""hanger"", ""rash""]",0.333333333
147,walkway,"[""sidewalk"", ""path"", ""pedestrian""]",3,83,27.66666667,"[""sidewalk"", ""pedestrian"", ""ship"", ""pole"", ""path""]",2,1,0,"[""sidewalk"", ""path"", ""pole""]",0.5
1936,eat,"[""food"", ""drink""]",2,101,41.5,"[""railroad"", ""drink"", ""sea"", ""food"", ""whistle"", ""astronaut""]",2,1,0,"[""food"", ""drink""]",1
1638,watching,"[""tv"", ""eyes""]",2,74,18,"[""toboggan"", ""tv"", ""float"", ""beaver"", ""coil"", ""eyes""]",0,1,0,"[""beaver"", ""eyes""]",0.333333333
544,element,"[""fire"", ""water""]",2,62,17.5,"[""fire"", ""buffalo"", ""water"", ""kneel"", ""cheese""]",3,1,0,"[""fire"", ""water""]",1
1876,moist,"[""wet"", ""water""]",2,136,45,"[""hump"", ""wet"", ""water"", ""quarter"", ""flame"", ""pig""]",4,1,0,"[""water"", ""wet""]",1
1387,crevice,"[""hole"", ""rock"", ""cave""]",3,96,16,"[""cave"", ""hole"", ""doily"", ""roller coaster"", ""suit"", ""rock""]",2,0.833333333,0.24,"[""cave"", ""rock"", ""hole""]",1
1819,palatable,"[""food"", ""taste""]",2,94,18,"[""food"", ""ballet"", ""cabin"", ""taste"", ""suit"", ""heart""]",2,1,0,"[""taste"", ""food""]",1
659,loosen,"[""belt"", ""tie""]",2,60,18.5,"[""buffalo"", ""doorbell"", ""belt"", ""tie"", ""gun""]",2,1,0,"[""tie"", ""belt""]",1
446,splint,"[""broken"", ""wood"", ""leg""]",3,66,20.66666667,"[""leg"", ""broken"", ""wood"", ""squirrel"", ""joystick""]",2,1,0,"[""leg"", ""squirrel"", ""joystick""]",0.2
4,bay,"[""water"", ""ocean"", ""boat""]",3,72,23.66666667,"[""ring"", ""water"", ""boat"", ""ocean"", ""newt""]",5,1,0,"[""ocean"", ""water"", ""boat""]",1
1122,chowder,"[""clam"", ""soup"", ""corn"", ""food""]",4,118,32.75,"[""soup"", ""quarter"", ""corn"", ""tea"", ""clam"", ""food""]",5,1,0,"[""clam"", ""tea"", ""corn"", ""soup""]",0.6
325,brick,"[""red"", ""house"", ""wall""]",3,117,39,"[""red"", ""wall"", ""house"", ""button"", ""centimeter""]",2,1,0,"[""wall"", ""red"", ""button""]",0.5
441,cilantro,"[""herb"", ""green"", ""spice""]",3,77,25.66666667,"[""landlord"", ""spice"", ""green"", ""closet"", ""herb""]",4,1,0,"[""green"", ""herb"", ""landlord""]",0.5
949,across,"[""bridge"", ""street""]",2,65,12,"[""tumor"", ""axe"", ""bridge"", ""street"", ""toaster""]",1,1,0,"[""bridge"", ""axe""]",0.333333333
414,gerbil,"[""hamster"", ""rodent"", ""pet""]",3,89,29.66666667,"[""pet"", ""frame"", ""hamster"", ""curly"", ""rodent""]",2,1,0,"[""hamster"", ""rodent"", ""frame""]",0.5
480,flavoring,"[""taste"", ""food"", ""spice""]",3,83,25,"[""taste"", ""spice"", ""stab"", ""food"", ""chin""]",2,1,0,"[""taste"", ""spice"", ""stab""]",0.5
1773,sunrise,"[""sunset"", ""orange""]",2,107,31,"[""food"", ""bolt"", ""orange"", ""pole"", ""diploma"", ""sunset""]",1,1,0,"[""sunset"", ""orange""]",1
453,navy,"[""ship"", ""army"", ""sea""]",3,91,19,"[""sea"", ""guitar"", ""ship"", ""army"", ""ball""]",4,1,0,"[""ship"", ""army"", ""guitar""]",0.5
212,calamari,"[""fried"", ""food"", ""fish""]",3,101,17.66666667,"[""food"", ""globe"", ""fried"", ""thread"", ""fish""]",2,1,0,"[""fried"", ""fish"", ""food""]",1
1075,lifeguard,"[""pool"", ""beach"", ""water"", ""swim""]",4,72,21.25,"[""beach"", ""swim"", ""tip"", ""pool"", ""collection"", ""water""]",5,0.866666667,0.19,"[""pool"", ""swim"", ""beach"", ""tip""]",0.6
1857,savings,"[""money"", ""bank""]",2,157,69.5,"[""heart"", ""money"", ""intestines"", ""seal"", ""journalist"", ""bank""]",1,1,0,"[""money"", ""bank""]",1
944,genealogy,"[""family"", ""tree""]",2,93,34.5,"[""wrinkled"", ""thunder"", ""family"", ""tree"", ""throw up""]",1,1,0,"[""tree"", ""family""]",1
1560,custody,"[""child"", ""jail"", ""police""]",3,69,22.66666667,"[""bench"", ""jail"", ""farm"", ""child"", ""millipede"", ""police""]",1,1,0,"[""jail"", ""child"", ""bench""]",0.5
